t,ax,ay,az,gx,gy,gz,roll,pitch,yaw
0.0,0.0263739824295043,0.0851638317108154,-0.084725022315979,0.8153142929077148,-0.9399837851524352,-0.3805272877216339,-0.1373600037232527,0.0322739721728497,-0.0888053179134447
0.010055999999167398,0.0312336385250091,0.0228357315063476,-0.0061570107936859,0.5864728689193726,-0.9694511294364928,-0.407937616109848,-0.1467197735529814,0.0398497697278453,-0.0917213064859609
0.02011099999799626,0.0624038726091384,0.0068364143371582,0.0034778118133544,0.3032936453819275,-1.0038405656814575,-0.4018734693527221,-0.1564722608100842,0.0449401243232561,-0.0950691119308338
0.030166999997163657,0.0658332407474517,-0.0102839469909667,-0.0223410129547119,0.0431654155254364,-1.085738182067871,-0.4099436700344085,-0.1668171584872027,0.0472265209494474,-0.0988454151241035
0.040222999996331055,0.0527164787054061,-0.0205432176589965,-0.102980226278305,-0.0965669155120849,-1.1917247772216797,-0.4108632504940033,-0.1781025446768813,0.0475867272481593,-0.1029567944493032
0.050278000002435874,0.0349549204111099,0.0215888023376464,-0.1619842946529388,-0.0718905925750732,-1.2662370204925537,-0.4412102401256561,-0.1903427575112778,0.04745038022757,-0.1073759479970443
0.06033400000160327,0.0157800912857055,0.0713291764259338,-0.1692299842834472,0.070300318300724,-1.3150280714035034,-0.4615471363067627,-0.2031190690776481,0.0483089721641452,-0.1118261096177293
0.07038900000043213,0.0134321600198745,0.0783896446228027,-0.1552836894989013,0.1962547898292541,-1.3298290967941284,-0.4682662785053253,-0.2161690161893019,0.0506507666845211,-0.1161029913625179
0.08044499999959953,0.0270090401172637,0.0254387855529785,-0.0913867354393005,0.2298082560300827,-1.3599551916122437,-0.4957972168922424,-0.2296110468186398,0.053885096272571,-0.1204028248060404
0.0904999999984284,0.0657883584499359,0.0323994755744934,-0.0485206544399261,0.2373218387365341,-1.3646031618118286,-0.494861364364624,-0.2432265181540172,0.0573787749745608,-0.1247484901844036
0.10055599999759579,0.0864344388246536,0.0402594208717346,-0.0110179483890533,0.195630669593811,-1.3402832746505735,-0.4919642210006714,-0.2567214392779863,0.06078285659678,-0.1290552671478851
0.11061099999642465,0.0736386030912399,0.0054612159729003,0.0530559718608856,0.1340336203575134,-1.331595778465271,-0.4844948351383209,-0.2700122877309815,0.0636754621172404,-0.1334101561945071
0.12066699999559205,0.0634728074073791,-0.0011173486709594,0.0607025623321533,0.0758696943521499,-1.3050116300582886,-0.4654415547847748,-0.2831707863121227,0.0660912449847923,-0.1377491233136709
0.1307230000020354,0.0679182410240173,0.0063707828521728,0.0304715931415557,0.0035555553622543,-1.2841740846633911,-0.4486447274684906,-0.2960222232558038,0.0678037384941757,-0.1420959577696676
0.14077800000086427,0.0747028440237045,-0.0151747465133667,0.0288906991481781,-0.0362224839627742,-1.268812894821167,-0.4352474510669708,-0.3087328930740175,0.0689629053208468,-0.1464754132225278
0.15083400000003166,0.0753323435783386,-0.0164574980735778,0.0460969507694244,0.0341558083891868,-1.231010913848877,-0.4183603525161743,-0.3211879598085509,0.0702769390877397,-0.1506604851543362
0.16088899999886053,0.0755876153707504,-0.0030086636543273,0.0502806007862091,0.1699099093675613,-1.194685459136963,-0.4014071822166443,-0.3332526537630628,0.072634614560246,-0.1542637583119507
0.17094499999802792,0.0707286596298217,-0.0028309226036071,0.059175044298172,0.2469764649868011,-1.1488572359085083,-0.3854593932628631,-0.3448879995096048,0.0760155148281094,-0.1573065770527253
0.1809999999968568,0.06536865234375,-0.0167449116706848,0.0694041550159454,0.2391712814569473,-1.0948803424835205,-0.358050137758255,-0.3558919043610689,0.079630563358251,-0.1599306301971449
0.19105599999602418,0.0552190691232681,-0.0641809701919555,0.0758772790431976,0.1688499748706817,-1.0660382509231567,-0.3382979929447174,-0.3665584408642682,0.0828054686542481,-0.1624985842928247
0.201111000002129,0.0429863035678863,-0.0821677446365356,0.0792701840400695,0.1184394359588623,-1.0295827388763428,-0.3208712041378021,-0.3768311827076709,0.0853207683964232,-0.1650239654128142
0.2111670000012964,0.0276770591735839,-0.0749024748802185,0.0871956050395965,0.0071573918685317,-0.9935901761054992,-0.313929945230484,-0.3866961765396804,0.0871402836339744,-0.1677029965482128
0.2212230000004638,0.0199586153030395,-0.0546903610229492,0.0917365252971649,-0.1903199106454849,-1.0000323057174685,-0.3145235180854797,-0.3965916695244023,0.0876019441908182,-0.1710238162213516
0.23127799999929266,0.0220956653356552,-0.0569127798080444,0.0572878122329711,-0.3797838389873504,-1.0348025560379028,-0.3095913529396057,-0.4063635075418157,0.0860963441212452,-0.1750439423391418
0.24133399999846006,0.0135860443115234,-0.0603732466697692,0.0192867219448089,-0.4190235435962677,-1.0769308805465698,-0.3140603005886078,-0.4165769319643242,0.0835731199844892,-0.1795643013557232
0.2513889999972889,-0.0084362775087356,-0.0213761925697326,0.0147261619567871,-0.3417868316173553,-1.08990740776062,-0.3373669385910034,-0.4271087850945804,0.0814167621054714,-0.1841132886621592
0.2614449999964563,-0.0229541361331939,0.0090640187263488,0.0223276615142822,-0.4194138050079345,-1.0684378147125244,-0.3580165803432464,-0.4374249052650764,0.0795136915516889,-0.1887829767663086
0.27150000000256114,-0.0164443701505661,-0.0101181268692016,0.0387574434280395,-0.6896573305130005,-1.0768064260482788,-0.3834590911865234,-0.4476173009010789,0.0760803927797482,-0.1945246959882993
