ax,ay,az,gx,gy,gz,roll,pitch,yaw
0.010713338851928711,-0.005508415400981903,0.020290493965148926,-0.018603896722197533,0.05659305676817894,0.016220083460211754,-0.1987336230831855,-0.03838526881247762,-0.02771715467783288
0.01553596556186676,-0.008697181940078735,0.009723305702209473,-0.008383659645915031,0.021022280678153038,0.022295553237199783,-0.19828386735202108,-0.03852238538533442,-0.027567048065613237
0.019384145736694336,-0.012048091739416122,0.01049274206161499,0.00847068801522255,-0.0026617436669766903,0.02577470801770687,-0.19816271610214303,-0.03857743936581402,-0.02732823468259821
0.013772234320640564,-0.009954776614904404,0.010202765464782715,0.02602367103099823,-0.015099504962563515,0.029138334095478058,-0.19825881781004132,-0.038482948368941526,-0.027026580048735156
0.014091432094573975,-0.01290551945567131,-0.0007007718086242676,0.00739645678550005,-0.00908076111227274,0.026171838864684105,-0.19839708656897811,-0.038397130436385186,-0.02669935198796549
0.007070064544677734,-0.0024727173149585724,-0.0031664371490478516,0.0003033496905118227,-0.011604771949350834,0.005169750656932592,-0.19851935309300214,-0.038401346632209066,-0.026533432417762955
-0.0006818026304244995,0.005934663116931915,-0.007779121398925781,0.015101470053195953,-0.029992034658789635,-0.01818830333650112,-0.19872048997050865,-0.03827939616731109,-0.026591589339355657
-0.0012865513563156128,0.0032689087092876434,-0.009778439998626709,0.02082930877804756,-0.028671374544501305,-0.019301237538456917,-0.19900455268418663,-0.038015276611226965,-0.02675040829691762
0.002593621611595154,-0.0014998801052570343,-0.014160752296447754,-0.011773908510804176,-0.023556239902973175,-0.030055349692702293,-0.1992730344144924,-0.03790116534939377,-0.026904989635027982
0.007806897163391113,-0.008355654776096344,-0.011691153049468994,-0.08307525515556335,-0.11801882833242416,-0.15662942826747894,-0.1997684939104084,-0.03819587357048523,-0.0269553916270368
0.16900889575481415,0.0005719698965549469,0.0019201040267944336,-0.06006767228245735,-0.2682381570339203,0.06499244272708893,-0.19998005816145947,-0.03828625972110071,-0.0272371562899865
0.3559321165084839,0.015151690691709518,0.0007517337799072266,-0.02386714518070221,-0.1335304081439972,0.2257431447505951,-0.19988890340887808,-0.038187056979656527,-0.027615381241521162
0.1042117327451706,0.00626412034034729,0.001613616943359375,-0.012367615476250648,0.10042083263397217,0.07129364460706711,-0.19987626386470694,-0.03805658647111012,-0.027592620121103865
-0.031435415148735046,-0.015912897884845734,-0.004728138446807861,-0.0008455378701910377,0.1224755346775055,0.05801975354552269,-0.19960003998092365,-0.03813893823798323,-0.02715390304325218
0.03485359251499176,-0.002484399825334549,-0.0089491605758667,0.031607743352651596,0.005491124000400305,0.029032312333583832,-0.19940302383163477,-0.03821452907772511,-0.026856394147779013
-0.009111732244491577,0.004027992486953735,-0.004631221294403076,0.022919800132513046,-0.09207271784543991,-0.020524054765701294,-0.19981766692457362,-0.03806494250643288,-0.02677917952257781
0.0012331902980804443,0.007782772183418274,0.006949901580810547,0.02071310579776764,-0.09743392467498779,-0.03230614587664604,-0.20054786644393352,-0.03786530899414873,-0.026928450303623813
-0.0017188489437103271,0.002370290458202362,0.008252084255218506,0.021832210943102837,-0.044100530445575714,-0.020479073747992516,-0.20111482204277098,-0.03755553312588456,-0.027094680652575476
-0.0037676841020584106,-0.0005962066352367401,0.0027754902839660645,-0.019951721653342247,0.025262564420700073,-0.013335144147276878,-0.20120331633449634,-0.037454940318212886,-0.02725583048080572
-0.004287362098693848,0.002745114266872406,0.008700966835021973,-0.04984450712800026,0.08446184545755386,-0.007955798879265785,-0.20065946865461004,-0.03777595402532296,-0.027488973592652392
-0.0009518563747406006,-0.0007275640964508057,0.008717119693756104,-0.03605572134256363,0.0896448865532875,0.019659582525491714,-0.19979980025468336,-0.038242984472720766,-0.027561462703279686
0.012701928615570068,-0.01347985491156578,0.0010895729064941406,-0.0133896479383111,0.04086349904537201,0.045022305101156235,-0.19911389064412724,-0.038559598669954925,-0.027282514372021262
0.024773627519607544,-0.012599233537912369,-0.005836129188537598,0.012376701459288597,-0.05828625708818436,0.021546540781855583,-0.19916341928197917,-0.038655612208873556,-0.026920724370277305
0.01129305362701416,0.0067169032990932465,-0.006241977214813232,0.03857816755771637,-0.13825632631778717,-0.02713410183787346,-0.20018246659114092,-0.0383975137104806,-0.026880221660884263
-0.0021821707487106323,0.018711470067501068,-0.007344305515289307,0.044380929321050644,-0.1470532864332199,-0.047561611980199814,-0.2016727954008737,-0.037892449660350186,-0.02721134436488016
-0.0007009655237197876,0.008785810321569443,-0.004143953323364258,0.015258374623954296,-0.10308128595352173,-0.019195375964045525,-0.20298025186647198,-0.037502886658349124,-0.027492132922007778
0.014396265149116516,-0.012137230485677719,0.0006181001663208008,-0.005910825915634632,-0.048118706792593,0.018596477806568146,-0.20373482611843632,-0.03747559009809163,-0.027483927896442658
0.021099865436553955,-0.01911003515124321,0.0009701848030090332,-0.0025109457783401012,-0.025399545207619667,0.03923725336790085,-0.20408391106970175,-0.03759728674704091,-0.027203360311007868
0.019179567694664,-0.01796417310833931,-0.0016273260116577148,-0.0009993354324251413,-0.04036331549286842,0.031347908079624176,-0.2043833803314323,-0.03770272219094305,-0.026842967401363778
0.009809836745262146,-0.006816316395998001,-0.0010058283805847168,-0.003200837643817067,-0.0757289007306099,-0.004065399989485741,-0.20492840660561643,-0.037709042026283834,-0.026709056208510013
0.0018265247344970703,0.002510286867618561,-0.0016588568687438965,0.0045372433960437775,-0.10368463397026062,-0.03941832855343819,-0.20575139745889826,-0.037629210488864556,-0.026937661694113244
-0.0014927685260772705,0.0052455514669418335,0.00026786327362060547,0.025143805891275406,-0.0923217162489891,-0.04746320843696594,-0.20673978492754091,-0.03741148947796217,-0.027364896547487177
0.002064049243927002,-0.0007855407893657684,4.1961669921875e-05,0.03421693295240402,-0.03174572438001633,-0.016002753749489784,-0.20737843715395218,-0.03707943543981112,-0.02762527029007067
0.00874781608581543,-0.011923655867576599,0.005569398403167725,-0.008368613198399544,0.00212355749681592,0.01739046350121498,-0.20745593982154836,-0.036956479771591604,-0.02756808407149401
0.014472901821136475,-0.015054278075695038,0.013609826564788818,-0.041354790329933167,-0.007799913641065359,0.023012129589915276,-0.2074142827320123,-0.037218632473567964,-0.027391529538426863
0.017876073718070984,-0.008982859551906586,0.013819336891174316,-0.03168964758515358,-0.02407102845609188,0.005401285365223885,-0.2075115140884777,-0.037617215296586945,-0.027315849374262603
0.001979038119316101,0.007055394351482391,0.010550498962402344,0.004701382480561733,-0.04303380101919174,-0.005425795912742615,-0.20781127667395113,-0.037692300132924954,-0.0273406988769972
-0.004672929644584656,0.0077047571539878845,-0.00038301944732666016,0.009540301747620106,-0.03175092115998268,-0.004484554752707481,-0.20817006573756128,-0.03756164529499579,-0.0273763190631291
-0.0006422698497772217,0.003096669912338257,-0.003456294536590576,0.0012397614773362875,-0.006777659058570862,-0.004002789035439491,-0.2083592403027411,-0.03750049335865044,-0.027411239458835054
0.005531668663024902,0.005894657224416733,-0.0003617405891418457,-0.00978119857609272,0.002582020591944456,-0.015161965973675251,-0.20836906837731525,-0.03752540610897895,-0.027491501211194157
-0.001955479383468628,0.006052859127521515,-0.0021730661392211914,-0.013921082019805908,-0.01092180423438549,-0.026095308363437653,-0.20840599346895347,-0.03761140615466795,-0.027745189066766162
-0.007566094398498535,0.004040960222482681,-0.0022082924842834473,0.0031648718286305666,-0.02794126607477665,-0.029042575508356094,-0.20858213300730613,-0.03757859698773311,-0.028042026525945656
-0.003927156329154968,0.003915529698133469,-0.0025728940963745117,0.017949143424630165,-0.06719332933425903,-0.026993006467819214,-0.2090561080598452,-0.037352920843567,-0.028287369050110513
0.004875302314758301,-0.0003837496042251587,-0.0010266900062561035,0.018297797068953514,-0.07370755821466446,-0.02238166332244873,-0.20973898896608933,-0.03708964027356848,-0.02849906076346784
