t,timestamp,ax,ay,az,gx,gy,gz,roll,pitch,yaw
0.0,31869.90872779167,-0.008149564266204834,-0.005411922931671143,0.01188439130783081,-0.037425123155117035,0.04827680066227913,0.010050141252577305,2.8265357807938423e-17,2.2086768104572383e-17,-1.2556464279510157e-17
0.010053999998490326,31869.918781791668,0.009708940982818604,0.006654620170593262,-0.002300739288330078,0.008923865854740143,-0.014741180464625359,-0.017621513456106186,0.00013305138474236795,-0.00016001933284095167,-7.166916014238382e-06
0.02010800000061863,31869.92883579167,0.0005914568901062012,0.006439119577407837,-0.005964398384094238,0.029321815818548203,-0.025842035189270973,-0.02066790498793125,-0.00011349935799517312,6.684827677658592e-05,-0.00019102588007516194
0.030161999999108957,31869.93888979167,0.0012781023979187012,0.004514187574386597,-0.0021169185638427734,0.03478506579995155,-0.022976873442530632,-0.02212185598909855,-0.0004227488095526162,0.0004306011722262569,-0.0004087091770668158
0.04021599999759928,31869.948943791667,-0.003739476203918457,0.0017539560794830322,0.0015763640403747559,0.02370205707848072,-0.029555147513747215,-0.026669735088944435,-0.0006980498965299998,0.0007117461506529846,-0.0006412360377391991
0.05026999999972759,31869.95899779167,-0.00970458984375,0.0017476081848144531,0.0034584999084472656,0.01653127372264862,-0.02575201913714409,-0.033844105899333954,-0.0009819415137449577,0.000937737732251685,-0.0009873471591185662
0.06032499999855645,31869.96905279167,-0.005124509334564209,0.0012890994548797607,0.003982067108154297,-0.006558864843100309,-0.005241685546934605,-0.012108982540667057,-0.0011204467696656767,0.0010342294085772966,-0.0013005665365602589
0.07037900000068475,31869.97910679167,-0.0005217790603637695,0.0009711682796478271,0.0002837181091308594,-0.03367770090699196,0.030244270339608192,0.03244610130786896,-0.000912830339862458,0.0008031815798214694,-0.0012656008356711405
0.08043299999917508,31869.98916079167,-0.0038747191429138184,0.005025118589401245,-0.005546927452087402,-0.04954055696725845,0.05239404737949371,0.04099244996905327,-0.0005239679893394386,0.00041661339798241165,-0.0008664478827821509
0.09048699999766541,31869.999214791667,-0.007333815097808838,0.0006371438503265381,-0.0020439624786376953,-0.05759843438863754,0.03988078236579895,0.035083986818790436,-8.33611126584658e-06,-0.0001504396098169725,-0.0004934964137128167
0.10054099999979371,31870.00926879167,-0.005984485149383545,0.0010616481304168701,-0.0024428963661193848,-0.06506434082984924,0.01720583252608776,0.031189115718007088,0.00029626898341839644,-0.0008203763654808611,-0.0001346637374661814
0.11059499999828404,31870.019322791668,-0.0008113384246826172,0.0032210946083068848,-0.006846964359283447,-0.021864762529730797,0.049598127603530884,0.06402892619371414,0.0005529794959000026,-0.0013419106094663801,0.0002796603589134021
0.12064900000041234,31870.02937679167,0.035299479961395264,0.002824127674102783,-0.027708709239959717,-0.00961182452738285,0.17102788388729095,-0.16168728470802307,0.0013020626338379085,-0.0014630121573044452,0.0007138306656615378
0.13070299999890267,31870.03943079167,-0.011035263538360596,0.022166848182678223,-0.00672072172164917,0.007882659323513508,0.3119242787361145,-0.34831973910331726,0.0020546724835835053,-0.0017347923569768098,0.0012487977055596962
0.140756999997393,31870.049484791667,-0.17379266023635864,0.04809674620628357,0.0034798383712768555,-0.06550313532352448,0.12378580868244171,-0.21454571187496185,0.0025896659700757295,-0.002110409357388486,0.0021929726097253605
