t,ax,ay,az,gx,gy,gz,roll,pitch,yaw
0.0,0.0233694240450859,0.057109534740448,-0.0530194118618965,0.0189055502414703,0.063359834253788,0.0581615008413791,0.1816852477734849,-0.0970759210768984,-0.0054386206177293
0.010054999998828862,0.054965853691101,0.0893287062644958,-0.1067842170596122,0.06028463691473,0.0051113106310367,0.0579594485461711,0.1821001533385813,-0.0966213272353419,-0.0049481571244599
0.020109999997657724,0.0829881876707077,0.0886099338531494,-0.1687448024749755,0.1409264951944351,-0.1124664470553398,0.0473342351615428,0.1816214562903102,-0.0955397286114403,-0.0046225528925577
0.030164000003424007,0.0871259644627571,0.0889997482299804,-0.1967382431030273,0.1851236373186111,-0.2257689088582992,0.0253977496176958,0.1799171761714467,-0.0937872604699062,-0.0045581889050361
0.04021900000225287,0.0803540423512458,0.0898428559303283,-0.1905527114868164,0.2038275599479675,-0.3388651013374328,-0.017036261036992,0.1770613696711651,-0.0918611266144926,-0.0048576283703217
0.05027400000108173,0.0729097947478294,0.0792872309684753,-0.1660240888595581,0.214683398604393,-0.4387381672859192,-0.0396240726113319,0.1730525748062372,-0.0897886503111131,-0.0055224668813416
0.06032899999991059,0.0583169013261795,0.0771106481552124,-0.104326494038105,0.1195891052484512,-0.5058913826942444,-0.0692597329616546,0.1682461491781119,-0.0883686170942165,-0.0063090638359315
0.07038299999840092,0.0589718669652938,0.0670592784881591,-0.1264652013778686,0.1951975375413894,-0.6119087338447571,-0.0609446242451667,0.1625014434755604,-0.0869537120785139,-0.0072451872766688
0.08043799999722978,0.0602053329348564,0.1323437690734863,-0.1926696300506591,0.3264479637145996,-0.6987727880477905,-0.0732968971133232,0.1558172198243519,-0.0845146356905619,-0.0082814793688326
0.0904930000033346,0.0574566647410392,0.1986048221588134,-0.2594810724258423,0.6344623565673828,-0.8212944269180298,-0.0960610657930374,0.1480933185605653,-0.079925512212483,-0.0098322825927804
0.10054700000182493,0.0541462078690528,0.2354614734649658,-0.2730060815811157,0.8458752632141113,-0.9436951875686646,-0.1024057790637016,0.1390914964897247,-0.0725649183217395,-0.0119560482990629
0.11060200000065379,0.0456553697586059,0.1619568467140197,-0.2516676187515259,0.8514699339866638,-1.0606095790863037,-0.1354289352893829,0.1288445164642121,-0.0640618322930393,-0.014311848659671
0.12065699999948265,0.0463484078645706,0.0448700785636901,-0.2186709642410278,0.702997624874115,-1.2137703895568848,-0.1324589699506759,0.1173041713946526,-0.0564822772897655,-0.0166002013966699
0.13071099999797298,0.0496437475085258,0.0470986366271972,-0.249557614326477,0.3494024276733398,-1.4011327028274536,-0.197909265756607,0.1040573906719648,-0.0513319035952515,-0.0188099046196892
0.14076599999680184,0.0762383341789245,0.0553020238876342,-0.2991012334823608,0.0781424194574356,-1.6017537117004397,-0.2500960230827331,0.0888336043994107,-0.0495416191038296,-0.0212772095693226
0.15082100000290666,0.0736589431762695,0.0784327983856201,-0.2885326147079468,0.0229885745793581,-1.779672145843506,-0.2904296517372131,0.0716762873341168,-0.0492933236849128,-0.0240202559453385
0.16087600000173552,0.058850847184658,0.1656677722930908,-0.2559109926223755,0.0445039868354797,-1.9091534614562988,-0.3228743970394134,0.0529139397585791,-0.0492269704633092,-0.0270797131980141
0.17093000000022585,0.0562623366713523,0.2041396498680114,-0.2468494176864624,0.1733012944459915,-1.9586347341537476,-0.3491452038288116,0.033211420027337,-0.0482793686709678,-0.0304756759233632
0.1809849999990547,0.0746769160032272,0.2259901762008667,-0.1588987112045288,0.2261354774236679,-1.9431066513061523,-0.3827646672725677,0.0133399508805954,-0.0462559229152355,-0.0341759268918994
0.19103999999788357,0.0977144166827201,0.2178044915199279,-0.0047792233526706,0.158891811966896,-1.9359186887741089,-0.4208183288574219,-0.0062911053596527,-0.0442484689138336,-0.0382194863192569
0.20109400000364985,0.124151811003685,0.1880966424942016,0.0791863203048706,0.0194545593112707,-1.9414050579071045,-0.4499759674072265,-0.0259578512806482,-0.0433000656356189,-0.04260623138128
0.21114900000247872,0.1429547220468521,0.2144614458084106,0.1058679819107055,-0.0273037124425172,-1.9204726219177248,-0.5320399403572083,-0.0456782509054252,-0.043240668923741,-0.0474413577182021
0.22120400000130758,0.1402161121368408,0.2908177375793457,0.1275656223297119,-0.0022835806012153,-1.8575224876403809,-0.6294237971305847,-0.0649277870094959,-0.0430932359124584,-0.0533127734712545
0.2312579999997979,0.1349896490573883,0.2983477115631103,0.1384899616241455,0.0291991550475358,-1.7792662382125854,-0.6853888630867004,-0.083474059306851,-0.0423844954408579,-0.0599326822633687
0.24131299999862676,0.1306104212999344,0.2260416746139526,0.1023445129394531,0.0551748313009738,-1.7620095014572144,-0.6862280368804932,-0.1015449544752523,-0.0413763318768804,-0.0667864065762647
0.2513679999974556,0.1210545748472213,0.1836397051811218,0.0635635927319526,0.1369087994098663,-1.7443132400512695,-0.6675127744674683,-0.1194431092752345,-0.0397018757120109,-0.0734095463437751
0.26142300000356045,0.1031651496887207,0.1780792474746704,0.0139546394348144,0.1955247074365615,-1.7548500299453735,-0.6764668226242065,-0.1372975523669378,-0.0371114521832044,-0.0799641933610009
0.2714770000020508,0.1018246710300445,0.1324063539505005,-0.0293232277035713,0.1466659009456634,-1.76220965385437,-0.6610778570175171,-0.1551870578691387,-0.0343760104029619,-0.0863568405449907
0.28153200000087963,0.1097172498703002,0.0568651556968688,-0.0538066700100898,0.0976544171571731,-1.7972211837768557,-0.6588138937950134,-0.1732147500298931,-0.0320053973334951,-0.092689612018794
0.2915869999997085,0.1377995461225509,0.0278824567794799,-0.0407311916351318,-0.0172320380806922,-1.9002892971038816,-0.6618081331253052,-0.1919491278586002,-0.0303897415295404,-0.0991387472862055
0.3016409999981988,0.1520291566848755,0.0173046588897705,-0.0405317544937133,-0.1343189775943756,-2.0532758235931396,-0.6394652724266052,-0.2120080265965956,-0.029849831275328,-0.1057193864244586
0.3116959999970277,0.142590045928955,0.015329360961914,-0.0967012643814086,-0.3049195408821106,-2.1488490104675293,-0.640428900718689,-0.2334302293913979,-0.0305326919204347,-0.1124436849154266
